caseid,label,name,order,timestamp
1,normal,Activity A,1,
1,normal,Activity B,2,
1,normal,Activity C,3,
1,normal,Activity D,4,
1,normal,Activity E,5,
1,normal,Activity G,6,
1,normal,Activity H,7,
1,normal,Activity I,8,
1,normal,Activity J,9,
1,normal,Activity F,10,
2,normal,Activity A,1,
2,normal,Activity B,2,
2,normal,Activity C,3,
2,normal,Activity D,4,
2,normal,Activity E,5,
2,normal,Activity G,6,
2,normal,Activity H,7,
2,normal,Activity I,8,
2,normal,Activity J,9,
2,normal,Activity F,10,
3,normal,Activity A,1,
3,normal,Activity B,2,
3,normal,Activity C,3,
3,normal,Activity D,4,
3,normal,Activity E,5,
3,normal,Activity T,6,
3,normal,Activity F,7,
4,normal,Activity A,1,
4,normal,Activity B,2,
4,normal,Activity C,3,
4,normal,Activity D,4,
4,normal,Activity E,5,
4,normal,Activity G,6,
4,normal,Activity H,7,
4,normal,Activity I,8,
4,normal,Activity J,9,
4,normal,Activity F,10,
5,normal,Activity A,1,
5,normal,Activity B,2,
5,normal,Activity C,3,
5,normal,Activity D,4,
5,normal,Activity E,5,
5,normal,Activity K,6,
5,normal,Activity M,7,
5,normal,Activity N,8,
5,normal,Activity L,9,
5,normal,Activity F,10,
6,normal,Activity A,1,
6,normal,Activity B,2,
6,normal,Activity C,3,
6,normal,Activity D,4,
6,normal,Activity E,5,
6,normal,Activity G,6,
6,normal,Activity H,7,
6,normal,Activity I,8,
6,normal,Activity J,9,
6,normal,Activity F,10,
7,normal,Activity A,1,
7,normal,Activity B,2,
7,normal,Activity C,3,
7,normal,Activity D,4,
7,normal,Activity E,5,
7,normal,Activity K,6,
7,normal,Activity O,7,
7,normal,Activity P,8,
7,normal,Activity L,9,
7,normal,Activity F,10,
8,normal,Activity A,1,
8,normal,Activity B,2,
8,normal,Activity C,3,
8,normal,Activity D,4,
8,normal,Activity E,5,
8,normal,Activity G,6,
8,normal,Activity H,7,
8,normal,Activity I,8,
8,normal,Activity J,9,
8,normal,Activity F,10,
9,normal,Activity A,1,
9,normal,Activity B,2,
9,normal,Activity C,3,
9,normal,Activity D,4,
9,normal,Activity E,5,
9,normal,Activity G,6,
9,normal,Activity H,7,
9,normal,Activity I,8,
9,normal,Activity J,9,
9,normal,Activity F,10,
